,text,date
43,"Брокер «Финам» отказался от планов на покупку киргизского банка. Такой вариант не получил одобрения Центробанка. Брокер планировал наладить через него валютные переводы между странами и внутри России. Однако регулятор пояснил, что работать надо через оставшиеся в стране институты.",2022-09-11 20:00:57
44,После 11 лет работы издание TJournal объявило о закрытии. Проект был посвящен технологиям и интернет-культуре. В середине марта TJournal заблокировали по требованию Роскомнадзора. Это привело к существенному снижению выручки и недостатку финансирования.,2022-09-11 11:25:08
45,"Илон Маск рассказал в Twitter о переговорах Starlink с Apple. По его словам, обсуждалось подключение iPhone к сервису. В Apple от комментариев отказались. К слову, в новых iPhone 14 доступно спутниковое SOS-оповещение. Смартфон сможет посылать сигнал тревоги с помощью спутниковой связи.",2022-09-10 19:11:21
46,"Банкам готовятся разрешить IT-аутсорсинг. На самом деле им можно пользоваться и сейчас, но некоторые банки опасаются работать с поставщиками из-за юридических рисков нарушений банковской тайны. Однако санкции и возникшие на их фоне проблемы с оборудованием для хранений пользовательских данных изменили ситуацию.",2022-09-10 10:28:02
47,"Создатель фоторедактора Prisma Алексей Моисеенков привлек инвестиции для нового проекта. Это платформа LF. Group для поиска тиммейтов в онлайн-играх. Так называют партнеров по команде. На LF. Group можно найти тиммейтов для League of Legends, World of Warcraft и других игр.",2022-09-09 19:56:33
48,"Илону Маску добавляет забот судебное разбирательство вокруг Dogecoin, к которому присоединились семь новых истцов. Инвесторы в криптовалюту обвиняют самого богатого человека в мире и его компании в создании Dogecoin-пирамиды. По их словам, ответчики «нажили десятки миллиардов долларов», зная, что криптовалюта не имеет внутренней ценности.",2022-09-09 10:40:44
49,"Вчера отгремела долгожданная презентация новинок Apple. Рассказываем и показываем, чем удивила мир компания на этот раз.",2022-09-08 15:00:06
50,"Доход самозанятых от бизнеса сокращается, показало исследование платформы для работы с внештатными исполнителями Qugo. За последние полгода показатель упал на 30% год к году. Специалисты связывают это с ухудшением экономической обстановки.",2022-09-08 10:34:42
51,"Соцсеть Twitter заинтересовалась личной перепиской CEO Tesla и SpaceX Илона Маска. Адвокаты компании заявили, что представители миллиардера отказываются делиться информацией. Twitter хочет в судебном порядке получить доступ к текстовым сообщениям Маска за период с 1 января по 8 июля 2022 года. Особенно компанию интересует переписка с главным помощником миллиардера Джаредом Бирчаллом.",2022-09-07 20:45:05
52,"Количество вакансий в российской IT-сфере снизилось на 25% с начала года. Рекордное число фиксировалось в феврале — 126,9 тыс. Одновременно с этим на 55% выросло количество резюме в IT-сфере. Эксперты отмечают, что несмотря на это, рынок продолжит быть дефицитным.",2022-09-07 14:36:01
